team,season,state,next_state,count,adjustment_type,poss_per_game
ATL,2024-25,ATL 3pt Made,OPP OREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP Turnover,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL 2pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL 3pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL DREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL FT Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL OREB,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL Turnover,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP 2pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP 3pt Made,0.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP DREB,0.0,3PT FG% +5%,98.8
